Prerequisite_1_grade,Face_to_Face,Course,Blended,Faculty,Availability,Int_Fees,Online,Local_Fees,Part_Time,Prerequisite_2_grade,Full_Time,Duration_Time,Remarks,Website,City,Prerequisite_1,Level_Code,Course_Lang,Distance,Currency,Description,Offline,Currency_Time,Prerequisite_2,Duration,University,Career_Outcomes,Prerequisite_3,Country,Prerequisite_3_grade
6.5,yes,Master of Health Professions Education - Thesis and Coursework,no,English,A,,yes,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-health-professions-education---thesis-and-coursework,Perth,IELTS,SHORT COURSES,English,no,AUD,"For health professionals who seek to develop their knowledge and skills in health professional education. In addition, students are able to pursue in depth research.",yes,year,,1.5,Australian Catholic University,Health Diagnostic and Promotion Professional / Academic,,Australia,
6.5,yes,Master of Forensic Science,no,Law,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-forensic-science,Perth,IELTS,PG,English,no,AUD,This course provides students with practical experience in independent scientific experimentation and research through the completion of a research project of direct relevance to a forensic discipline.,yes,year,,1,Australian Catholic University,Forensic Scientist,,Australia,
6.5,yes,Doctor of Podiatric Medicine,no,Medical and Nursing,A,,no,,no,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-podiatric-medicine,Perth,IELTS,DPG,English,no,AUD,"Most graduate podiatrists will work in private practice, clinics or hospitals and see an interesting and wide range of patients with foot and leg problems often associated with other medical conditions. Many podiatrists develop expertise in a specific area of podiatry, such as the management of sporting injuries or podiatric biomechanics, treatment of the high-risk foot, the elderly or children's foot and leg problems. Podiatrists are independent practitioners with the right to perform minor foot surgery, refer patients for relevant investigative tests and to administer drugs necessary for the treatment of podiatric conditions.",yes,year,,3,Australian Catholic University,Podiatrist,,Australia,
6.5,yes,Doctor of Architecture (Design),no,Computer Science & Information Technology,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-architecture-design,Perth,IELTS,DPG,English,no,AUD,Students in this course undertake a program of individually supervised research leading to the presentation of an exhibition of architectural design that is equivalent in scope to the fully developed design of a building of major cultural significance.,yes,year,,3,Australian Catholic University,Architect,,Australia,
6.5,yes,Master of Aboriginal Health,no,English,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-aboriginal-health,Perth,IELTS,PG,English,no,AUD,"Enables students to appropriately investigate current issues regarding Aboriginal health and health care with due consideration to Aboriginal knowledge, biomedical knowledge and research. ",yes,year,,2,Australian Catholic University,Doctor (Medical Practitioner) / Health Promotion Officer / Health and Welfare Services Manager,,Australia,
6.5,yes,Doctor of Social Work,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-social-work,Perth,IELTS,DPG,English,no,AUD,The Doctor of Social Work is a research-based and research-driven advanced course for qualified social workers committed to their continuing professional education.,yes,year,,3,Australian Catholic University,Social Worker,,Australia,
6.5,yes,Master of Advanced Social Work,no,Humanities and Social Science,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-advanced-social-work,Perth,IELTS,PG,English,no,AUD,This degree provides professional and research skills for graduates and professionals working in social work or social administration.,yes,year,,1,Australian Catholic University,Social Worker,,Australia,
6.5,yes,Doctor of Clinical Pharmacy,no,Medical and Nursing,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-clinical-pharmacy,Perth,IELTS,DPG,English,no,AUD,This degree provides practising clinical pharmacists with a research-orientated qualification in a specialty area of clinical pharmacy practice.,yes,year,,3,Australian Catholic University,Pharmacist,,Australia,
6.5,yes,Master of Curatorial Studies in Fine Arts (Research),no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-curatorial-studies-in-fine-arts,Perth,IELTS,PG,English,no,AUD,"This specialist degree provides a high status and professional qualification suitable for graduates wishing to enter the museum profession in Australia or overseas as curators, exhibition organisers or researchers. ",yes,year,,2,Australian Catholic University,Arts Administrator or Manager / Arts Professional / Curator - Gallery or Museum / Visual Arts Professional,,Australia,
6.5,yes,Master of Education - Thesis & Coursework,no,Computer Science & Information Technology,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-education--thesis--coursework,Perth,IELTS,SHORT COURSES,English,no,AUD,"Gain comprehensive preparation in conceptualising, conducting and reporting research in education.",yes,year,,1.5,Australian Catholic University,Education Advisers and Reviewers,,Australia,
6.5,yes,Doctor of Philosophy (PhD) and Master of Infectious Diseases,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-philosophy-and-master-of-infectious-diseases,Perth,IELTS,DPG,English,no,AUD,This course enables students to undertake a PhD in their chosen discipline with the Master of Infectious Diseases.,yes,year,,4,Australian Catholic University,Education Advisers and Reviewers,,Australia,
6.5,yes,Master of Educational Leadership - Thesis & Coursework,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-educational-leadership--thesis--coursework,Perth,IELTS,SHORT COURSES,English,no,AUD,"The course introduces participants to theory as well as national and international educational practices. Participants can then connect these considerations with their own experiences and, through dialogue and the sharing of ideas and information, broaden their knowledge and enhance their capabilities.  ",yes,year,,1.5,Australian Catholic University,School Principal,,Australia,
6.5,yes,Master of Music,no,Creative Arts & Design & Music,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-music,Perth,IELTS,PG,English,no,AUD,"This specialist degree is designed for professionals or graduates to pursue composition or performance at postgraduate level, as well as investigate the theoretical/historical aspects of performance and composition.",yes,year,,1,Australian Catholic University,Music Professional / Music Teacher / Musician,,Australia,
6.5,yes,Master of Architecture (Design),no,Computer Science & Information Technology,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-architecture-design,Perth,IELTS,PG,English,no,AUD,"The Master of Architecture (Design) is a program of independent, supervised research leading to the presentation of an exhibition of architectural design equivalent in scope to the schematic design of a building of major cultural significance.",yes,year,,2,Australian Catholic University,Architect,,Australia,
6.5,yes,Master of Rural and Remote Medicine,yes,Computer Science & Information Technology,A,,yes,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-rural-and-remote-medicine,Perth,IELTS,PG,English,yes,AUD,The Master of Rural and Remote Medicine is a broad-based degree for those wishing to pursue a career in teaching or research focused on rural and remote medicine.,yes,year,,1,Australian Catholic University,Doctor (Medical Practitioner) / Research and Development Manager,,Australia,
6.5,yes,Higher Degree by Research Preliminary - Arts,no,Engineering,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/higher-degree-by-research-preliminary---arts,Perth,IELTS,BA,English,no,AUD,"A faculty or the Board of the Graduate Research School may require students who have applied to undertake a higher degree by research course to complete a preliminary course to ensure that they possess the necessary knowledge and research skills to complete the proposed course successfully, in the context of maintaining the University's reputation as a university of the highest international standing.",yes,year,,1,Australian Catholic University,Academic,,Australia,
6.5,yes,Master of Clinical Audiology and Doctor of Philosophy,no,Humanities and Social Science,A,,no,,no,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-clinical-audiology-and-doctor-of-philosophy,Perth,IELTS,DPG,English,no,AUD,"Audiology is the clinical science involving the prevention, assessment and rehabilitation of hearing loss and associated communication disorders.",yes,year,,4,Australian Catholic University,Audiologist,,Australia,
6.5,yes,Master of Fine Arts (Research),no,Engineering,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-fine-arts,Perth,IELTS,PG,English,yes,AUD,This specialist degree provides a high-quality academic qualification in the theory and practice of the fine arts that carries credibility both nationally and internationally and empowers artists in their pursuit of national and international recognition.,yes,year,,2,Australian Catholic University,Arts Professional / Visual Arts Professional / Arts Administrator or Manager,,Australia,
6.5,yes,Master of Clinical Research,no,Engineering,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-clinical-research,Perth,IELTS,PG,English,no,AUD,"This course trains clinicians in the core disciplines of clinical investigation, epidemiology and biostatistics.",yes,year,,2,Australian Catholic University,Doctor (Medical Practitioner),,Australia,
6.5,yes,Doctor of Engineering,no,Engineering,A,,no,,yes,,yes,N/A,,https://www.uwa.edu.au/study/courses/doctor-of-engineering,Perth,IELTS,DPG,English,no,AUD,The degree of Doctor of Engineering is of a higher standard than either the master's degree or the Doctor of Philosophy and may be awarded by the Faculty for independent and original work.,yes,year,,N/A,Australian Catholic University,Academic / Chemical Engineer / Civil Engineer / Electrical Engineer,,Australia,
6.5,yes,Master of Pathology,no,Medical and Nursing,A,,no,,no,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-pathology,Perth,IELTS,PG,English,no,AUD,"This course provides an opportunity for students who have completed a Graduate Diploma in a cognate field to design, conduct, analyse and write up a year long research project relevant to the School of Biomedical Sciences. Students develop their understanding of the process of research as well as demonstrating competence at each stage of the research process.",yes,year,,1,Australian Catholic University,Academic / University Lecturer,,Australia,
6.5,yes,Master of Exercise Science - Thesis and Coursework,no,Humanities and Social Science,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-exercise-science---thesis-and-coursework,Perth,IELTS,SHORT COURSES,English,no,AUD,"This course enables advanced study or research majoring in one of the sub-discipline areas within exercise science, with particular emphasis on movement science, biomechanics, exercise physiology, motor learning, pedagogy, health and sport psychology.",yes,year,,1,Australian Catholic University,Sports Scientist,,Australia,
6.5,yes,Master of Ore Deposit Geology,no,Computer Science & Information Technology,A,,no,,yes,,no,years,,https://www.uwa.edu.au/study/courses/master-of-ore-deposit-geology,Perth,IELTS,PG,English,no,AUD,"With world-class ore bodies becoming more difficult to find, there is an increasing recognition that geologists will require new approaches and skills in order to discover new deposits. This course is designed for geoscientists who want to gain up-to-date knowledge and skills in economic geology and mineral exploration. It will allow you to study a spectrum of economic geology topics specifically related to the discovery and evaluation of ore deposits. Domestic students may be eligible for a Commonwealth supported place within this course. ",yes,year,,1.5,Australian Catholic University,Geologist,,Australia,
6.5,yes,Master of Infectious Diseases,no,Medical and Nursing,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-infectious-diseases,Perth,IELTS,PG,English,no,AUD,"This course provides advanced training in the field of infectious diseases including topics in Medical Microbiology, Tropical Infectious Diseases and Public and Environmental Health Microbiology.",yes,year,,2,Australian Catholic University,Biochemist/ Molecular Biologist / Biomedical Researcher / Laboratory Manager / Medical Researcher,,Australia,
6.5,yes,Master of Forensic Anthropology,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-forensic-anthropology,Perth,IELTS,PG,English,no,AUD,"This course enables you to undertake advanced studies in forensic anthropology, while developing an in-depth knowledge of the human skeleton. ",yes,year,,2,Australian Catholic University,Anthropologist / Anatomist or Physiologist,,Australia,
6.5,yes,Master of Biological Arts,no,Medical and Nursing,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-biological-arts,Perth,IELTS,PG,English,no,AUD,"This course is designed for experienced art practitioners, scientists or humanities scholars who wish to engage with creative bioresearch. The course focuses on recent advances in life sciences, both in theory and practice. Emphasis is placed on critical thought, ethical and cultural issues and cross-disciplinary experimentation in art and science.",yes,year,,2,Australian Catholic University,Academic / Artistic Director / Arts Professional / Author,,Australia,
6.5,no,Master of Building Information Modelling (Online),no,Computer Science & Information Technology,A,,yes,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-building-information-modelling-online,Perth,IELTS,PG,English,no,AUD,"Study from anywhere, online. BIM is a new paradigm in construction. Today, the industry uses 3D models as the basis of a building inception, design, construction management and facilities management. The mastery of BIM puts you at the forefront of the construction industry, allowing you to have a direct impact on the quality of our built environment. It will allow you to become a decision-maker rather than simply a team member.",no,year,,1,Australian Catholic University,Urban Designer / Architect / Engineer / Environmental Engineer,,Australia,
6.5,yes,Doctor of Medicine,no,Medical and Nursing,A,,no,,no,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-medicine,Perth,IELTS,DPG,English,no,AUD,"As a doctor, you will need to fulfil a number of roles including that of a professional, leader, advocate, clinician, educator and scholar, and these key roles form the themes around which the UWA Doctor of Medicine curriculum is structured. As well as undertaking relevant bioscience learning and development of clinical knowledge and skills reasoning, you will develop effective communication, leadership and teamwork skills for collaborative patient care. You may also pursue opportunities for depth of study in areas of your interest, through electives and scholarly activity. This course prepares graduates with the professional attributes required for successful medical internships.",yes,year,,4,Australian Catholic University,Anatomist or Physiologist / Cardiologist / Doctor (Medical Practitioner) / Gastroenterologist,,Australia,
6.5,yes,Graduate Certificate in Social Policy Practice,no,Humanities and Social Science,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-social-policy-practice,Perth,IELTS,PG,English,no,AUD,This course will facilitate the development of specific expertise in the chosen area(s) of study and a variety of generic skills which will complement specialised or professional degrees.,yes,year,,1,Australian Catholic University,Social Worker,,Australia,
6.5,yes,Master of Commerce,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-commerce,Perth,IELTS,PG,English,no,AUD,"Our world-class academics and leading industry partners will ensure you’re exposed to the latest theory and practice. Alongside this, you’ll have the opportunity to take part in extracurricular activities – from careers fairs and networking events, to joining student groups and attending professional development workshops and guest lectures from senior executives.",yes,year,,1.5,Australian Catholic University,Accountant / Advertising Professional / Advertising and Public Relations Manager / Analyst,,Australia,
6.5,yes,Higher Degree by Research Preliminary - Business,no,Engineering,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/higher-degree-by-research-preliminary---business,Perth,IELTS,BA,English,no,AUD,"A faculty or the Board of the Graduate Research School may require students who have applied to undertake a higher degree by research course to complete a preliminary course to ensure that they possess the necessary knowledge and research skills to complete the proposed course successfully, in the context of maintaining the University's reputation as a university of the highest international standing.",yes,year,,1,Australian Catholic University,Academic,,Australia,
6.5,yes,Master of Business Information and Logistics Management,no,Computer Science & Information Technology,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-business-information-and-logistics-management,Perth,IELTS,PG,English,no,AUD,"Do you want to build your skills in project management, and focus on improving quality, workflow management, processes and systems?",yes,year,,1.5,Australian Catholic University,Analyst / Program or Project Manager / Intelligence Analyst / Market Research Analyst,,Australia,
6.5,yes,Master of Architecture,no,Computer Science & Information Technology,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-architecture,Perth,IELTS,PG,English,no,AUD,Study for a Master of Architecture and discover the art and science of bringing together the knowledge and skills that shape our built environment.,yes,year,,2,Australian Catholic University,Architect / Conservation Officer / Landscape Architect / Urban Designer,,Australia,
6.5,yes,Master of Economics,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-economics,Perth,IELTS,PG,English,no,AUD,"Would you like to prepare yourself for high-level analysis and decision making roles in the public or private sectors? From international trade to public policy and advanced econometrics, expose yourself to the latest thinking with a Master of Economics from the UWA Business School.",yes,year,,1.5,Australian Catholic University,Academic / Economist / Finance Manager / Financial Institution Branch Manager,,Australia,
6.5,yes,Graduate Diploma in Health Professions Education,no,English,A,,yes,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-health-professions-education,Perth,IELTS,PG,English,no,AUD,"The course not only explores teaching and learning, assessment, and research methods in health professional education, but offers participants a range of options in the Faculty of Health and Medical Sciences and School of Allied Health.",yes,year,,1,Australian Catholic University,Academic / Disease Prevention Educator / Training and Development Professional,,Australia,
6.5,yes,Master of Educational Leadership - Coursework,no,Humanities and Social Science,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-educational-leadership---coursework,Perth,IELTS,SHORT COURSES,English,no,AUD,This course is designed for professionals in education who are interested in leadership as a process as well as those who wish to develop their capacity as leaders.,yes,year,,1,Australian Catholic University,Early Childhood (Pre-primary School) Educator / Primary School Teacher / School Principal / Secondary School Teacher,,Australia,
6.5,yes,Master of Teaching (Early Childhood),no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-teaching--early-childhood,Perth,IELTS,PG,English,no,AUD,"Early childhood educators play a critical and foundational role in preparing young children for life-long learning and participation in society. They are pivotal in creating safe learning environments for holistic child development, nurturing creative and curious instincts and fostering positive attitudes to learning and problem solving.",yes,year,,1.5,Australian Catholic University,Early Childhood (Pre-primary School) Educator,,Australia,
6.5,yes,Master of Teaching,no,Science and Health Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-teaching,Perth,IELTS,PG,English,no,AUD,Teachers play a critical role in preparing students for life-long learning. UWA offers a Master of Teaching course that enables graduates to qualify as primary school teachers and fill this crucial role in our communities.,yes,year,,1.5,Australian Catholic University,Primary School Teacher / Early Childhood (Pre-primary School) Educator,,Australia,
6.5,yes,Graduate Certificate in Autism Diagnosis,yes,Science and Health Science,A,,yes,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-autism-diagnosis,Perth,IELTS,PG,English,yes,AUD,"This course will provide graduates trained in psychology, speech pathology, occupational therapy, paediatrics, or psychiatry with the specialist knowledge and clinical skills required to participate in team-based diagnosis of Autism Spectrum Disorder (ASD).",yes,year,,6,Australian Catholic University,Paediatrician / Psychiatrist / Psychologist,,Australia,
6.5,yes,Graduate Certificate in Minerals and Energy Management,no,Business & Commerce & Finance & Accounting,A,,yes,,yes,,no,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-minerals-and-energy-management,Perth,IELTS,PG,English,no,AUD,,yes,year,,1,Australian Catholic University,Mining Engineer / General Manager / Natural Resource Manager,,Australia,
6.5,yes,Master of Exercise Science,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-exercise-science,Perth,IELTS,PG,English,no,AUD,"The Master of Exercise Science will expose you to advanced level units within the various sub-disciplines that are informed by the latest research developments and contemporary professional practice. These sub-discipline studies may include: clinical, sport and occupational biomechanics; exercise physiology; motor learning and control; sport, exercise, health and coaching psychology; physical activity promotion; and sport and recreation marketing and management.",yes,year,,2,Australian Catholic University,Sports Scientist / Academic / Recreation Officer / Secondary School Teacher,,Australia,
6.5,no,Graduate Diploma in Building Information Modelling (Online),no,Computer Science & Information Technology,A,,yes,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-building-information-modelling-online,Perth,IELTS,PG,English,no,AUD,"BIM is a new paradigm in construction. Today, the industry uses 3D models as the basis of a building inception, design, construction management and facilities management. A strong knowledge of BIM gives you an edge in the construction industry, allowing you to have a direct impact on the quality of our built environment.",no,year,,1,Australian Catholic University,Urban Designer / Architect / Engineer / Environmental Engineer,,Australia,
6.5,yes,Master of Business Psychology,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-business-psychology,Perth,IELTS,PG,English,no,AUD,The Master of Business Psychology provides extensive specialist training in the application of psychological theories and principles to workplace settings to improve organisational performance while also enhancing employee well-being.,yes,year,,2,Australian Catholic University,Business Administration Manager / Workplace Relations Adviser / Human Resource Professional / Research Officer,,Australia,
6.5,yes,Graduate Certificate in Rural and Remote Medicine,no,Computer Science & Information Technology,A,,yes,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-rural-and-remote-medicine,Perth,IELTS,PG,English,no,AUD,"As rural and remote medicine is a generalist discipline, the range of research topics is very wide, from large-scale epidemiological studies to educational and qualitative or clinical studies.",yes,year,,1,Australian Catholic University,Doctor (Medical Practitioner),,Australia,
6.5,yes,Graduate Diploma in Taxation Law,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-taxation-law,Perth,IELTS,PG,English,no,AUD,Tax law impacts the outcomes of all business and work activities. Distinguish yourself with specialist knowledge in this globally critical field.,yes,year,,6,Australian Catholic University,Academic / Accountant / Analyst / Business Administration Manager,,Australia,
6.5,yes,Master of Health Professions Education - Coursework and Dissertation,no,English,A,,yes,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-health-professions-education---coursework-and-dissertation,Perth,IELTS,SHORT COURSES,English,no,AUD,Students are able to pursue a particular area of research interest as part of their dissertation project.,yes,year,,1.5,Australian Catholic University,Academic / Disease Prevention Educator / Training and Development Professional / Health and Welfare Services Manager,,Australia,
6.5,yes,Graduate Diploma in Forensic Odontology,no,Medical and Nursing,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-forensic-odontology,Perth,IELTS,PG,English,no,AUD,"A broad range of opportunities are available for dentists who are interested in education, training and research in this developing field.",yes,year,,1,Australian Catholic University,Forensic Scientist,,Australia,
6.5,yes,Doctor of Dental Medicine,no,Medical and Nursing,A,,no,,no,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-dental-medicine,Perth,IELTS,DPG,English,no,AUD,"You'll be based at The Oral Health Centre of Western Australia, a high-tech dental teaching hospital and learning facility on the QEII Medical Centre campus. You can learn either by treating patients under close supervision by highly experienced and skilled tutors, or by observing general and specialist dentists treating a wide range of dental conditions. Successful graduates will be able to register with the Dental Board of Australia as a dentist and enter the profession immediately.",yes,year,,4,Australian Catholic University,Dentist,,Australia,
6.5,yes,Graduate Certificate in Urban Design,no,"Architecture, Building & Planning",A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-urban-design,Perth,IELTS,PG,English,no,AUD,Develop techniques of sustainable urban design suited to this 'urban century'.,yes,year,,6,Australian Catholic University,Urban Designer,,Australia,
6.5,yes,Graduate Diploma in Sport and Recreation Management,no,Tourism and Hotel Management,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-sport-and-recreation-management,Perth,IELTS,PG,English,no,AUD,This course focuses on developing knowledge and skills in the area of management and marketing within the sport and recreation industry.,yes,year,,1,Australian Catholic University,Recreation Officer / Sports Administrator,,Australia,
